freq,unit,na_item,geo	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
A,CLV20_EUR_HAB,B1GQ,ME	: 	: 	: 	: 	: 	: 	5620 	5990 	6420 	6030 	6190 	6380 	6200 	6410 	6520 	6740 	6940 	7260 	7630 	7950 	6740 	7640 	8160 	8460 p	: 
A,CLV20_EUR_HAB,B1GQ,MK	: 	: 	: 	3370 e	3540 e	3720 e	3940 e	4210 e	4470 e	4480 e	4660 e	4800 e	4790 e	4950 e	5140 e	5360 e	5530 e	5610 e	5800 e	6070 e	5850 e	6170 e	6360 e	6510 e	: 
A,CLV20_EUR_HAB,B1GQ,MT	17340 	16900 	17240 	17760 	17710 	18110 	18460 	19320 	20040 	19620 	20730 	20850 	21530 	22590 	23830 	25500 	25950 	28510 	29490 	29460 	27880 	31400 	31900 	32710 	: 
A,CLV20_EUR_HAB,B1GQ,NL	40430 	41060 	40890 	40740 	41420 	42160 	43590 	45180 	45960 	44050 	44400 	44980 	44370 	44230 	44780 	45530 	46380 	47390 	48180 	48970 	46810 	49490 	51480 p	51010 p	: 
A,CLV20_EUR_HAB,B1GQ,PL	6950 	7040 	7180 	7440 	7820 	8080 	8590 	9170 	9570 	9730 b	10150 b	10680 	10840 	10930 	11360 	11870 	12240 	12870 	13680 	14310 	14310 b	15380 	15840 b	15930 	: 
A,CLV20_EUR_HAB,B1GQ,PT	18580 	18810 	18850 	18600 	18890 	19000 	19280 	19720 	19760 	19120 	19440 	19110 	18410 	18330 	18560 	18920 	19350 	20020 	20620 	21150 	19360 	20390 	21690 	22000 e	: 
A,CLV20_EUR_HAB,B1GQ,RO	4800 	5060 	5530 	5690 	6320 b	6650 	7230 	7870 	8740 	8330 	8050 	8460 	8660 	8710 	9100 	9430 	9760 	10620 	11330 	11830 	11460 	12190 	12730 	13030 p	: 
A,CLV20_EUR_HAB,B1GQ,RS	3670 	3930 	4190 	4390 	4700 	4990 	5200 	5630 	5950 	5790 	5900 	5950 	5950 	6010 	5930 	6040 	6250 	6430 	6770 	7130 	7110 	7740 	8150 p	8520 p	: 
A,CLV20_EUR_HAB,B1GQ,SE	37170 	37570 	38300 	38880 	40350 	41320 	42990 	44070 	43320 	41130 	43120 	44140 	43650 	43770 	44320 	45790 	46320 	46490 	46830 	47520 	46250 	48710 	48890 	48450 	: 
A,CLV20_EUR_HAB,B1GQ,SI	15730 	16160 	16660 	17180 	17950 	18610 	19640 	20930 	21600 b	19770 	19920 	20010 	19390 	19210 	19720 	20170 	20770 	21830 	22720 	23330 	22230 	24040 	24660 	25050 	: 
A,CLV20_EUR_HAB,B1GQ,SK	8730 	9020 b	9420 	9880 	10410 	11070 	12050 	13340 	14030 	13230 	14100 	14540 b	14750 	14830 	15220 	16000 	16280 	16730 	17380 	17760 	17270 	18330 b	18360 	18610 	: 
A,CLV20_EUR_HAB,B1GQ,TR	3970 	3690 	3880 	4060 	4400 	4740 	5010 	5190 	5170 	4850 	5180 	5680 	5880 	6290 	6510 	6820 	6950 	7380 	7500 	7450 	7520 	8300 	8670 	9080 	: 
