freq,effect,unit,geo	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A,ENTRY_REF,NR,SK	0.29 	0.16 	0.16 	0.11 	0.11 	0.08 	0.08 	0.09 	0.14 	0.20 	0.32 	0.25 	0.08 	0.09 	0.20 	0.18 
A,L_ORD,NR,AT	1.07 	1.27 	1.32 	1.02 	0.97 	1.19 	0.29 	1.15 	1.36 	1.01 	1.21 	1.58 	1.03 	1.17 	2.76 	2.00 
A,L_ORD,NR,BE	2.68 	2.24 	2.11 	3.35 	4.59 	4.26 	3.15 	2.76 	2.92 	2.84 	2.12 	1.92 	1.76 	1.65 	1.66 	2.08 
A,L_ORD,NR,BG	0.19 	0.20 	0.23 	0.18 	0.28 	0.72 	1.78 	2.89 	1.97 	0.37 	0.19 	0.18 	0.18 	0.20 	0.62 	2.60 
A,L_ORD,NR,CH	: 	: 	: 	: 	0.44 	0.41 	0.41 	0.45 	0.41 	0.39 	0.37 	0.36 	0.28 	0.61 	0.62 	0.52 
A,L_ORD,NR,CY	4.32 	4.02 	3.48 	3.82 	3.61 	4.77 	4.11 	2.66 	1.86 	2.17 	1.85 	1.49 	3.41 	17.74 	18.75 	20.05 
A,L_ORD,NR,CZ	0.36 	0.37 	0.28 	0.24 	0.23 	0.23 	0.23 	0.43 	0.36 	0.58 	0.32 	0.84 	0.74 	0.64 	0.79 	0.73 
A,L_ORD,NR,DE	0.15 	0.18 	0.23 	0.22 	0.25 	0.32 	0.42 	0.67 	0.85 	1.18 	0.64 	0.57 	0.44 	0.38 	0.52 	0.53 
A,L_ORD,NR,DK	: 	: 	: 	0.39 	0.59 	0.56 	0.52 	0.69 	0.53 	0.55 	0.72 	0.68 	0.38 	0.40 	0.38 	0.36 
A,L_ORD,NR,EE	0.14 	0.11 	0.08 	0.36 	0.44 	0.45 	0.36 	0.45 	0.38 	0.49 	0.66 	0.90 	0.93 	0.87 	0.88 	0.76 
A,L_ORD,NR,EL	13.23 	11.37 	11.92 	7.99 	7.64 	3.92 	6.74 	9.63 	3.13 	4.25 	5.43 	7.35 	3.60 	2.70 	3.20 	2.86 
A,L_ORD,NR,ES	1.82 	2.23 	1.70 	1.57 	1.30 	0.70 	0.91 	0.72 	0.60 	0.59 	1.27 	0.81 	1.06 	0.16 	0.97 	1.34 
A,L_ORD,NR,EU27_2020	: 	: 	: 	: 	: 	0.85 	0.92 	1.03 b	0.96 	1.01 	1.02 	1.10 	0.89 	0.76 	1.05 	1.08 
A,L_ORD,NR,FI	0.33 	0.59 	0.72 	0.87 	0.80 	0.80 	0.62 	0.90 	3.28 	1.32 	0.99 	1.34 	0.98 	0.59 	0.61 	0.63 
A,L_ORD,NR,FR	1.52 	1.38 	1.18 	1.28 	1.19 	1.29 	1.31 	1.20 	1.22 	1.27 	1.57 	1.84 	1.61 	1.85 	2.00 	2.02 
A,L_ORD,NR,HR	: 	: 	: 	: 	: 	1.02 	0.73 	0.93 	1.13 	1.06 	1.55 	3.80 	5.70 	3.75 	10.49 	3.87 
A,L_ORD,NR,HU	0.42 	0.48 	0.55 	0.69 	0.75 	0.60 	0.60 	1.19 	1.10 	0.89 	0.88 	0.33 	0.46 	0.46 	0.26 	0.70 
A,L_ORD,NR,IE	0.29 	0.36 	0.33 	0.40 	0.45 	0.47 	0.21 	0.19 	0.29 	0.23 	0.29 	0.52 	0.16 	0.03 	0.12 	0.20 
A,L_ORD,NR,IS	0.09 	0.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.27 	: 	: 	: 	: 
A,L_ORD,NR,IT	1.16 	0.91 	0.79 	0.50 	0.49 	0.40 	0.42 	0.45 	0.53 	0.60 	0.45 	0.45 	0.38 	0.19 	0.48 	0.45 
A,L_ORD,NR,LI	0.40 	0.79 	0.28 	0.30 	0.25 	0.24 	0.35 	0.40 	0.40 	: 	0.55 	0.42 	: 	: 	0.51 	0.35 
A,L_ORD,NR,LT	0.28 	0.38 	0.43 	0.58 	0.64 	0.60 	0.76 	0.64 	0.60 	0.73 	0.88 	0.83 	0.68 	1.69 	1.14 	1.36 
A,L_ORD,NR,LU	: 	0.37 	0.30 	: 	3.71 	1.89 	1.41 	1.24 	1.14 	1.55 	1.41 	1.74 	1.68 	1.14 	1.37 	1.65 
