freq,reason,citizen,duration,unit,geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A,EMP,TOTAL,TOTAL,PER,EU27_2020	: 	425662 	456599 	589552 	737478 	904824 	983220 	1202224 	904670 	1364396 	1268020 	1263358 
A,EMP,TOTAL,TOTAL,PER,FI	4648 	4719 	4786 	5026 	5381 	6221 	5705 	15137 	13753 	12286 	17616 	15410 
A,EMP,TOTAL,TOTAL,PER,FR	15827 	18244 	19428 	21003 	23275 	27835 	33993 	39652 	27354 	38060 	55247 	58221 p
A,EMP,TOTAL,TOTAL,PER,HR	: 	599 	609 	790 	2634 	6987 	23754 	46587 	31816 	30056 	53471 	77541 
A,EMP,TOTAL,TOTAL,PER,HU	3687 	3561 	3733 	4209 	5851 	13210 	31553 	38875 	31840 	38960 	47372 	53542 
A,EMP,TOTAL,TOTAL,PER,IE	3720 	4018 	5139 	6073 	7842 u	9398 u	9480 u	12049 u	7131 	8009 u	19502 u	23918 u
A,EMP,TOTAL,TOTAL,PER,IS	186 	186 	163 	219 	304 	393 	463 	475 	272 	451 	599 	723 
A,EMP,TOTAL,TOTAL,PER,IT	66742 	80726 	53327 	17370 	9389 	8409 	13877 	11069 	10243 	50597 	66791 	38103 
A,EMP,TOTAL,TOTAL,PER,LI	: 	96 	103 	104 	99 	104 	109 	120 	105 	137 	124 	110 
A,EMP,TOTAL,TOTAL,PER,LT	2163 	2822 	4800 	2789 	4082 	7572 	9506 	18395 	19534 	15939 	22346 	46920 
A,EMP,TOTAL,TOTAL,PER,LU	629 	1272 	965 	1257 	1340 	1783 	2142 	2614 	1554 	1918 	3204 	3151 
A,EMP,TOTAL,TOTAL,PER,LV	767 	793 	971 	1639 	1736 	2158 	3575 	4447 	2545 	3685 	3549 	3838 
A,EMP,TOTAL,TOTAL,PER,MT	877 	1230 	2044 	2782 	3036 	5997 	10178 	12644 	6592 	8060 	27549 	27808 
A,EMP,TOTAL,TOTAL,PER,NL	10921 	12673 	11780 	13308 	14621 	17744 	20885 	22030 	13345 	20769 	32123 	27439 
A,EMP,TOTAL,TOTAL,PER,NO	7627 	7814 	7830 	7714 	7021 	7784 	8741 	9311 	6456 	6880 	8549 	8546 
A,EMP,TOTAL,TOTAL,PER,PL	97031 	141668 	206279 	375342 	493960 	596916 	533646 b	625120 	502342 	790070 	447225 	427162 
A,EMP,TOTAL,TOTAL,PER,PT	5917 	6394 	6409 	6805 	5791 	8164 	20256 	34999 	32666 	38659 	53194 	55161 
A,EMP,TOTAL,TOTAL,PER,RO	1656 	1542 	1803 	1680 	1766 	2952 	6347 	16394 	10788 	18011 	31079 	44662 
A,EMP,TOTAL,TOTAL,PER,SE	18520 	17189 	14857 	15726 	15632 	18138 	23926 	25556 	17313 	21115 	24082 	19124 
A,EMP,TOTAL,TOTAL,PER,SI	4532 	3674 	4168 	5423 	6894 	12194 	21030 	20356 	9929 	17927 	22517 	20714 
A,EMP,TOTAL,TOTAL,PER,SK	1719 	1624 	1741 	3142 	3590 	7421 	13989 	20885 	12077 	21852 	19339 	20042 
A,EMP,TOTAL,TOTAL,PER,UK	106290 	108552 	116707 	118080 	117076 	104212 	108150 	0 	: 	: 	: 	: 
A,FAM,TOTAL,TOTAL,PER,AT	13134 	12652 	13394 	15529 	15635 	13857 	13064 	13481 	11634 	14457 	17369 	18156 
A,FAM,TOTAL,TOTAL,PER,BE	25060 	22266 	23114 	26206 	26325 	28654 	29551 	32261 	25712 	32710 	33313 	33774 
A,FAM,TOTAL,TOTAL,PER,BG	2241 	2242 	2591 	2906 	3240 	3615 	3792 	4097 	2902 	4174 	5345 	6160 
A,FAM,TOTAL,TOTAL,PER,CH	19661 	20561 	18526 	18563 	19508 	19013 	19559 	17895 	15893 	19561 	21123 	20677 
A,FAM,TOTAL,TOTAL,PER,CY	1440 	1230 	2111 	2580 	2332 	2741 	3346 	3839 	2704 	3024 	8371 	8564 
A,FAM,TOTAL,TOTAL,PER,CZ	9630 	10311 	10687 	21265 	24568 	15448 	16512 	26796 	13423 	16535 	14250 	12492 
A,FAM,TOTAL,TOTAL,PER,DE	75928 	82492 	91661 	133893 	136982 	156973 	190856 	167443 	130701 b	193154 	219338 	207057 
A,FAM,TOTAL,TOTAL,PER,DK	6436 	9068 	10339 	15961 	12883 	12601 	10755 	8882 	8053 	8826 	11236 	12146 
A,FAM,TOTAL,TOTAL,PER,EE	1150 	1103 	1263 	1351 	1424 	1270 	1762 	2411 	2120 	2789 	3117 	1838 
A,FAM,TOTAL,TOTAL,PER,EL	11835 	10852 	12647 	19175 	23598 	13798 	17079 	19694 	8323 	11773 	15935 	17366 
A,FAM,TOTAL,TOTAL,PER,ES	119863 	107051 	101025 	102454 	115143 	125637 	134196 	143860 	119738 	159246 	174532 	230138 
A,FAM,TOTAL,TOTAL,PER,EU27_2020	: 	576544 	583887 	670295 	688996 	735546 	813621 	810012 	617323 	819373 	927510 	986453 
A,FAM,TOTAL,TOTAL,PER,FI	7180 	7909 	8043 	7682 	7833 	8762 	8750 	9601 	7930 	11425 	17228 	22115 
A,FAM,TOTAL,TOTAL,PER,FR	84747 	91707 	92272 	99312 	94345 	94247 	97664 	98174 	80730 	93583 	97038 	92082 
A,FAM,TOTAL,TOTAL,PER,HR	: 	2154 	1928 	1852 	1673 	1694 	1559 	2921 	2487 	2847 	2710 	2461 
A,FAM,TOTAL,TOTAL,PER,HU	2883 	4058 	6736 	5715 	4730 	3788 	6026 	4314 	3626 	4334 	5485 	8073 
A,FAM,TOTAL,TOTAL,PER,IE	1894 	2042 	2526 	3444 	4100 	3058 	2781 	3671 	1835 	2609 u	3997 u	4461 u
A,FAM,TOTAL,TOTAL,PER,IS	406 	435 	337 	373 	479 	493 	604 	664 	765 	735 	931 	1285 
A,FAM,TOTAL,TOTAL,PER,IT	119745 	108358 	99051 	109328 	101269 	112607 	121930 	100939 	62274 	120520 	131275 	135734 
A,FAM,TOTAL,TOTAL,PER,LI	: 	520 	501 	533 	533 	539 	575 	648 	652 	683 	688 	677 
A,FAM,TOTAL,TOTAL,PER,LT	883 	988 	1473 	1273 	1173 	1001 	1011 	1144 	970 	1890 	2468 	2502 
A,FAM,TOTAL,TOTAL,PER,LU	2387 	2153 	2470 	2806 	2952 	3277 	3573 	4118 	2894 	3628 	4181 	4630 
A,FAM,TOTAL,TOTAL,PER,LV	2091 	3521 	4903 	2553 	2197 	2062 	2238 	2410 	1395 	2146 	2203 	2249 
A,FAM,TOTAL,TOTAL,PER,MT	360 	1514 	2077 	2143 	1719 	1584 	1534 	1577 	879 	1811 	2693 	3154 
A,FAM,TOTAL,TOTAL,PER,NL	21160 	25376 	22115 	21683 	24962 	30968 	34036 	38653 	28872 	34541 	45870 	45339 
A,FAM,TOTAL,TOTAL,PER,NO	10839 	9992 	9093 	12353 	15133 	14242 	11051 	9747 	7301 	8628 	11817 	11506 
A,FAM,TOTAL,TOTAL,PER,PL	3062 	2628 	1188 	1010 	8416 	9201 	13050 	16780 	12250 	11159 	19004 	19259 
A,FAM,TOTAL,TOTAL,PER,PT	14654 	12224 	13846 	12916 	12755 	17840 	26659 	38203 	35735 	29516 	38602 	44617 
A,FAM,TOTAL,TOTAL,PER,RO	3899 	4155 	3331 	3770 	3871 	3578 	3856 	4205 	2789 	4145 	4224 	5109 
A,FAM,TOTAL,TOTAL,PER,SE	43999 	43156 	46262 	46354 	47697 	59237 	58939 	48659 	37341 	37371 	36165 	34938 
A,FAM,TOTAL,TOTAL,PER,SI	3377 	3923 	5099 	4593 	4592 	5417 	6208 	8350 	7105 	7453 	7499 	8299 
